177 1600 354 1618 615 1359 34 776 1226	177 2455 832 107 2651 459 776 1226	0
12 887 647 29	12 615 887 647 29	1
3665 19 3289 459 676 39 9 920 2170 126 168	1424 711 19 2170 328 676 998 711 672 126 19	0
12 176 29 177 917 2415 1661	176 29 133 134 117 118	0
249 1268 754 10 126	246 247 451 448 10 215 126	1
326 32 80 32 2181 426 505 227	324 302 309 382 140 370	1
300 161 12 251 3478 3479	29 161 12 251 896	1
4933 1344 189 126 168 16	8904 1644 16	0
28 12 1003 23 24 76	472 2369 6636 19 115 115 23 24	0
12 274 62 169 2354 16	12 23 10 23 62 169 2354	1
12 127 6 202 374 19	12 374 58 180	0
1622 533 73 648	12 277 13685	1
140 370 853 11 935	140 370 853 370 11 8 9 313	1
692 168 917 2415 1661 6468 3342	133 134 3381 173 1732	0
34 67	62 422 889 164	0
12 10 459 29	12 10 459 10343 29	0
546 358 47 541 336 381 382	546 358 47 541 336	0
10 317 79 282 283 283 282 426 426 405 406 13247	282 283 283 282 426 592 216	0
522 5 6 2641 2 300	1006 12 72 29 4 162 424	0
1622 533 1629 66	1622 1393 29 592 19 126 601	1
899 46 539 849 335 50 122 317 1260	899 46 539 849 335 50 122 2531 8375	0
282 283 283 282 140 370 592 216	282 283 283 282 426 1759 370 1 79	0
23 29 6890	12 23 29 3514	0
106 172 5 6	172 5 69 285 70	0
29 431 432 230 12 16	29 431 432 447 12 16	0
10 360 12 312 11 29 459 342 518 11	34 342 11 12 17320 11	1
1310 1311 13 536 826 7209 945 16	1310 1311 13 14 536 4803 1701	0
29 347 106 12 16	29 431 10 431 432 106 12	1
423 276 1931 90 227 522 227	522 227 590 333 276	0
29 522 776 813 1338 79 365 8 9 161	1506 79 7 202 161	0
133 134 212 59 2246	177 119 10	0
807 1017 812 810 2292	5 295 32 52 53 247	0
28 29 128 10 101 102	10 3332 29 128	1
282 283 283 282 140 370 592 11086	282 283 283 282 140 370 920 921	0
8 344 462 920 986 13747 3176 230 236	8 9 344 698 431 432 272 1034 3248 56	0
12 128 317 116 1174 495	217 116 1174 495	0
3 739 29 5 130	3 739 1461	0
1331 971 247 468	462 11 702 468 11	0
2357 19 40	1185 1186 42 32 43 5922	0
1774 29 62 39 9	29 62 43 65 63 734 11 16	0
5 1329 1854 903 264 58 1190	1130 2777 903 264 90 93	0
126 19 276 593 12	126 276 593 366	1
83 243 74 39 9	12 106 241 76 217 193 243	1
3664 1290 880 11	3664	0
66 247 4818 12 13 161 300	12 317 922 533	1
48 50 50 48 1619 6423 1294 2290	263 10 394 66 415 683	0
176 29 177 447 3271 3993	1980 133 134 447 3271 3993	1
134 355 334 1116	34 355 334 1121 1053	1
29 106 67 422 334	29 106 67 8412 19 422 334	0
29 1038 591 19 3034 128 23	29 19 455 456 128 23	0
